GEO_id2	foreign_born_pct	edu_less_hs	unemployment	below_poverty	female_headed_hh	pct_Hispanic	pct_Black
39011040400	1.5393813	8.7856486	5.5978898	5.7133937	3.6343612	1.8831266	0.6426543
39011040500	0	9.3082115	5.686731	4.6462715	4.4243338	0.0381898	0.4391827
39011040600	0.9311443	12.3649907	8.4264432	11.4996306	8.525641	1.5927469	0.2695418
39011040900	0.7694349	5.8679707	5.6603774	7.3759618	3.9051604	0.2387901	0
39011041000	0	8.1487672	2.1533613	2.104066	3.4124629	0	0
39011041100	1.0619906	7.7968527	4.4599913	5.0585597	2.2811344	0.5186466	0
39011041201	0	12.325752	17.7339902	5.3866667	4.7387606	3.433923	0
39011041202	1.6803439	9.4602438	5.7814248	6.6454437	5.7373163	2.2469715	0.0781555
39013010100	0.0702247	12.6634769	4.3189369	14.4079886	7.8322385	0	1.2172285
39013010200	0.7153429	13.4442596	10.9526235	27.725703	6.81458	0.6660089	2.4420326
39013010300	0.9373169	14.9247975	3.9013196	8.6408905	3.4620506	0	0
39013010600	0.0806885	13.2103877	7.120743	14.7928994	4.0317654	0	1.9096288
39013010700	2.2356953	7.491021	8.5164835	17.696097	6.7101584	2.3493748	0
39013010802	0.294365	13.8658147	6.5789474	15.3069807	6.7763795	0	0
39013010900	2.0059435	11.3481416	4.2133176	11.872005	10.237069	0.4160476	0
39013011000	0.8726366	10.7845934	5.1055474	12.0989725	6.2007874	0.5817577	0
39013011200	0	12.8919861	7.6923077	14.3818335	3.2369146	0	0.1936912
39013011300	0.5955335	9.0466926	6.5547129	10.7410276	2.3563218	0.0992556	0.3473945
39013011400	0.7439825	12.4332344	8.1185567	11.7620651	4.2922841	1.2910285	1.2472648
39013011500	0	18.993994	8.2352941	19.8675497	5.0715215	0	0.3612282
39013011600	0	19.6700508	10.9057301	27.7010561	20.2729045	0	0
39013011700	0	19.3223443	15.0220913	40.3614458	19.6050776	0.7362785	7.0950469
39013011900	0.1715266	12.9221733	6.824147	8.4166954	4.9732211	1.2692967	5.9005146
39013012000	0.5960729	12.2054381	13.1777625	27.769986	27.7830638	3.3309958	8.2748948
39013012100	0	27.7167277	9.9526066	38.2013201	5.4846939	0	0.660066
39013012200	0.7772021	19.517058	4.111322	11.9146414	3.6954915	2.0239637	23.3970207
39013012300	2.2082811	14.1846154	4.2565267	5.6012658	1.7567568	0.5771644	0
39013012400	1.0118407	6.5948417	4.601227	10.0721098	6.4928425	0	5.3821313
39015951201	0.0465658	20.9401709	8.354303	7.354658	2.0138889	0	0
39015951202	0.3639305	20.3416149	12.017509	6.77315	4.4337927	0.7480793	0
39015951300	0	17.1153074	6.3229308	10.591227	9.8958333	2.2024778	1.3515205
39015951400	0	19.7845601	10.0094429	16.7479278	7.5974026	0.6564551	0
39015951500	0.2728265	17.8123295	9.9532114	8.515682	3.9895013	0.4547108	0.7275373
39015951600	0.2140755	23.6656201	14.6783626	28.9545703	11.1336032	0.7225047	0.5084292
39015951700	0	20.3874092	12.1212121	17.9575051	6.4741907	0.1027397	3.2191781
39015951800	0.6457926	21.2771814	10.5882353	14.1073658	5.2683897	0.2348337	2.0156556
39015951900	0	20.8553459	8.0070547	9.793471	5.1463645	0	0.2663116
39017000100	3.4034251	15.3337342	6.2684056	12.8587076	9.9287411	5.9614134	3.6418816
39017000200	0	19.9553239	9.2428712	16.917581	11.5575124	1.0669975	2.3325062
39017000300	6.1780105	26.6102492	26.6200762	36.1954625	14.8869836	5.8638744	47.0506108
39017000400	23.3415786	41.3713405	24.9112126	42.556962	15.9304852	31.3244884	14.5491343
39017000500	6.8096089	35.6029271	14.3718593	41.942881	12.763656	10.6611078	8.4574151
39017000600	7.1953886	31.98273	18.3375104	31.1129163	14.4793926	15.4442457	2.4845955
39017001001	2.6963658	11.4559819	9.3246355	10.6682298	14.2230026	2.7745213	2.8526768
39017001002	1.5501145	12.2320962	7.8550933	10.3435998	8.2631368	1.4972697	2.6422406
39017001100	2.5854514	25.6611166	15.6615241	19.5848973	13.1997946	6.0035057	4.0753725
39017001300	2.7797244	8.3885942	3.4808767	10.4861773	7.6786769	1.1913104	2.0088764
39017010101	3.8489736	12.0481928	10.5106101	75.0865757	0	3.9589443	2.016129
39017010102	4.7586207	15.0498165	6.7190851	17.7931035	12.4600639	0	4.1724138
39017010103	6.9702602	4.5317221	11.0892389	32.3126664	5.5038446	0.3345725	3.8289963
39017010104	1.7949547	0	9.4494338	0	34.4827586	0.4366106	4.0265201
39017010201	8.9385475	0	21.6981132	0	0	1.2462398	7.434465
39017010202	1.8194542	7.8343949	6.3958917	9.7270819	4.4560185	0.7464427	1.6095171
39017010203	0.5262203	7.4595169	7.0630749	6.7249863	2.3553507	0	0
39017010301	0.0901307	17.2805402	7.394958	3.7146093	2.5433526	0	0
39017010302	1.5397776	10.9756098	3.1976744	3.6676218	3.7581699	0	0.6558312
39017010500	0.3391268	34.5454546	18.2938389	29.1649004	13.4311512	0	1.5260704
39017010600	0	18.7704918	10.7810781	6.7926757	1.9852941	0	0
39017010800	0.4232638	12.8628852	7.8404018	7.9479542	4.8119693	0	0
39017010901	0.4505519	13.9072848	6.3909774	10.7907186	8.8782563	0.3153864	2.4329804
39017010903	3.9815668	7.826593	5.6	2.0645161	3.7708129	0.7741936	10.3963134
39017010904	3.2204789	15.6577885	8.0347448	7.7525889	9.3794076	1.2111203	4.1288192
39017010906	15.7894737	14.292196	7.6006671	11.1366774	7.2924188	8.8367225	19.6172249
39017010907	4.7495362	4.5577862	7.8848561	9.6846011	9.670987	5.974026	4.7866419
39017010908	6.2961773	27.6093591	7.1516268	17.3643916	11.1260054	2.8268551	20.7195631
39017010909	18.1781294	12.9679144	15.6469761	11.514904	17.2201139	18.7259079	18.2187056
39017010910	7.9898101	5.4692775	7.1456462	5.3109714	4.3949772	1.7137564	10.4446503
39017010911	2.4571854	6.5592635	4.8695652	6.8751551	12.2990915	1.340283	6.0064532
