OBJECTID	FIPS	AvComTm	PerNVHHs	PerColAtt	PerInd	FreRedLun	ValAdd	CoEdSites	UnempRT	MedRnt	MedHmVal	PerLIHTC	mRFEI	PerFamPov	PerPT	IntAcc	JobRatio	Shape_Length	Shape_Area	OI_v1
1556	39021011501	-0.818949492	0.757399833	-0.280123523	0.34057899	0.227059997	-0.611180838	-0.940637528	0.380867542	-0.413412615	0.266709568	-0.194284333	-0.334705551	0.68072451	-0.528110467	-0.993029224	-0.12164321	99149.38032	430975324.2	-0.161421021
1557	39021011001	-1.855736877	0.944938103	-0.381356584	0.306635647	0.366796	-0.036687294	-0.940637528	0.079560933	-0.28713962	0.486664012	-0.194284333	-1.244787506	0.402509582	-0.528110467	-0.507434719	-0.130009529	54706.75856	172150929.3	-0.219942511
1558	39169000300	0.839910323	-0.426904345	0.559314669	0.747933568	-0.12988526	-0.160927937	-0.940637528	0.837666737	-0.762767901	0.182779582	-0.194284333	-0.15268916	0.100596524	-0.528110467	-0.021840214	0.205275259	12140.115	4176921.148	0.009714345
1559	39169980000	2.913485092	0.944938103	-0.281260973	0.747933568	-0.12988526	-0.160927937	-0.940637528	0.148408222	-0.619658506	-0.643496654	-0.194284333	-1.244787506	1.043409089	-0.528110467	-0.021840214	-0.081903207	5942.182881	1157647.453	0.059461343
1560	39169000200	0.425195369	0.456400909	1.535815601	0.635371286	0.029434956	-0.27874212	-0.940637528	0.661936411	0.504171148	0.572041066	-0.194284333	0.634965103	0.776800023	-0.528110467	1.192146047	-0.076572939	10999.61512	6398944.965	0.337870658
1561	39169002902	-0.404234539	0.815536697	-0.130548832	1.030993923	0.721596186	0.546960566	1.969629499	0.747353121	-0.577567508	0.026496161	-0.194284333	0.120335426	0.818856354	-0.513993928	0.46375429	-0.122259692	51542.99471	65573088.64	0.332413962
1562	39169002300	0.217837892	0.316684897	-0.061164374	1.032395781	0.261715417	0.082247494	-0.940637528	1.031329145	-0.661749505	0.54599383	-0.194284333	0.575376404	0.735250559	-0.465693779	-0.507434719	-0.11927872	61073.11843	161427198.2	0.115536779
1563	39169003000	-0.196877062	0.789281339	-0.624202186	0.743613088	0.783329635	-0.165384562	1.484584995	0.505216685	0.272670658	0.298545079	-0.194284333	0.575376404	0.720917604	-0.528110467	-0.021840214	-0.121301796	44212.24934	90089743.62	0.270095929
1564	39169002200	-0.818949492	0.756462142	-0.676524892	0.89711651	1.362220014	-0.322971554	-0.455593023	0.010835192	-0.28713962	-0.294753094	-0.194284333	3.305622268	0.186770773	-0.46970255	-0.507434719	-0.122850704	53097.34781	159121064.1	0.148051432
1565	39041011200	-1.233664446	0.72739371	0.565570645	0.839330095	1.205574172	1.01938507	-0.940637528	0.692688668	0.525216647	1.152315621	-0.194284333	1.106257546	0.887096791	-0.428510968	-0.021840214	-0.089232304	57897.63529	169244105.9	0.363291198
