OBJECTID	GEO_id	foreign_born_pct	edu_less_hs	unemployment	below_poverty	female_headed_hh	pct_Hispanic	pct_Black	county
87	39061025002	2.2218863	2.5455343	6.2896552	7.738815	7.0460705	0.3325272	2.267231	Hamilton
88	39061025104	1.5495868	1.4007782	3.8004751	8.2340756	0	1.2913223	0.9297521	Hamilton
89	39061025102	8.2821685	4.0421793	4.9856434	6.8566925	3.2388664	1.4369693	1.9464402	Hamilton
90	39061024902	2.8549283	2.9457667	4.3566879	2.5484332	4.647785	5.9423847	0.9301124	Hamilton
91	39061025101	6.1292212	2.4009978	2.9875519	0.3318368	1.9740901	0.9564708	0	Hamilton
92	39061025001	4.0293638	3.8425492	5.6782334	13.2190539	4.9979	2.7569331	0.8482871	Hamilton
93	39061008601	3.0058322	28.3744557	33.3333333	48.6363636	32.0378151	0.2243158	78.3310902	Hamilton
94	39061008800	6.8965517	24.7515381	26.1370528	51.2195122	25.5733148	3.7469454	79.2017377	Hamilton
95	39061009200	12.5	33.5283528	13.6122178	45.0081833	22.2721438	12.4458875	42.775974	Hamilton
96	39061009300	7.5444324	28.2234957	23.0477635	40.9480997	18.7432286	6.1661226	34.7841857	Hamilton
97	39061009400	4.1991602	41.1985019	25.9515571	69.1007846	37.5249501	10.4379124	41.7516497	Hamilton
98	39061009500	11.2814465	27.7304965	10.7082631	47.9289941	20.9500609	12.1069182	28.4984277	Hamilton
99	39061009600	1.3535032	19.2419825	11.9897959	26.6454352	11.842804	1.9373673	22.7707006	Hamilton
100	39061027400	11.9091326	22.5447182	11.7798796	31.441048	15.5837004	10.8994952	33.8458008	Hamilton
101	39061027300	3.9473684	3.5714286	3.811841	6.1317184	1.945946	2.1804511	2.8947368	Hamilton
102	39061025103	2.6342019	4.4449082	5.3652968	7.7067669	7.5465076	0.2278229	1.1675922	Hamilton
103	39061006000	7.2411533	12.3713751	6.8670886	19.3155259	6.3341827	7.3230668	47.1985583	Hamilton
104	39061022302	10.8157654	8.4183674	4.7766323	10.668164	0.8831795	6.5261228	6.8010999	Hamilton
105	39061023100	6.0671723	2.969815	2.3041475	1.8813314	1.5355086	0.3972553	5.4532322	Hamilton
106	39061023222	2.8751753	9.2048193	8.7013843	6.025825	18.319455	0.9817672	8.7307153	Hamilton
