OBJECTID	FIPS	AvComTm	PerNVHHs	PerColAtt	PerInd	FreRedLun	ValAdd	CoEdSites	UnempRT	MedRnt	MedHmVal	PerLIHTC	mRFEI	PerFamPov	PerPT	IntAcc	JobRatio	Shape_Length	Shape_Area	OI_v1_new
603	39049008710	0.764980438	0.178435773	-0.790989378	-1.797924055	-1.411192205	-2.805138816	-0.030619063	-0.520928175	-0.012681423	-0.561165045	-0.073930404	-1.085144866	-0.07463348	0.181912839	-0.378409028	-0.158831975	7119.96617	2682270.16	-0.536016179
604	39049007740	0.826889273	-0.229713835	-0.126815833	-0.621418866	-1.106751401	-0.131787305	1.69093775	0.598330855	-0.279280377	-0.105064633	-0.073930404	-0.198641057	0.948745975	-0.267235551	1.005796136	-0.089662679	9887.92119	3005687.037	0.115024878
605	39049007730	0.585383118	0.237032008	0.219402226	-0.285147102	-0.81690813	0.858342885	1.69093775	0.974336512	-0.255476899	-0.239821573	-0.073930404	-0.093961639	0.201917622	-0.029224254	0.544394415	-0.170094459	7562.121508	2476621.232	0.20919888
606	39049007722	-0.39367444	-0.345708167	-0.711035962	-0.904172577	-1.299346318	0.561303828	1.558510303	-0.346650654	-0.793435503	-0.549318281	-0.073930404	-0.172471201	0.411471761	0.145834627	-0.83981075	-0.152183263	7562.109034	3062173.868	-0.244038563
607	39049007721	0.123658031	-0.38478953	-1.005011079	-0.372559921	-1.386777317	-0.131787305	1.558510303	0.162651775	-0.184066465	-0.681113529	-0.073930404	-0.248006916	-0.459624263	0.233006858	-1.301212471	-0.163977195	8141.524222	3700813.626	-0.269689339
608	39049007710	-0.20760652	-0.667530905	-0.480859567	-1.271663204	-0.799175211	-1.022904475	1.69093775	-0.092681832	-0.06980977	-0.633726474	-0.073930404	-0.129464797	-0.89009144	0.836131173	-0.378409028	-0.116067716	7633.319539	3476281.92	-0.269178276
609	39049007540	0.192397405	0.1238652	0.424625532	-1.982561336	-1.033301137	1.551434018	1.558510303	-0.325398228	0.00636136	0.703477005	0.413199515	1.440713382	-0.943874301	-0.194881766	1.467197857	0.227359521	16668.14578	13502442.78	0.226820271
610	39049007534	-0.036111741	-0.528552518	-0.482556342	-2.268882917	-1.29446334	2.541564206	1.88957892	-2.24899686	-1.064795153	-0.458986706	1.099818001	0.216338061	-0.617262586	0.608110634	-0.378409028	0.770607038	8531.243092	3975499.022	-0.140812521
611	39049007533	0.183548789	-0.497139118	0.066839808	-1.812195535	-0.850523575	1.551434018	1.88957892	0.491791127	-0.060288379	-0.389386968	-0.073930404	0.534114862	-0.746998725	-0.325787037	-0.378409028	-0.10758891	8653.531894	3686308.324	-0.03280876
612	39049006500	0.776381731	0.79617416	3.760685677	1.153150565	1.717511451	1.551434018	1.823365197	0.784655505	-0.317365942	4.56700289	-0.073930404	2.169730749	0.685376263	-0.266393561	1.467197857	0.381480807	10411.87783	4139390.495	1.31102856
613	39049006430	0.742207403	0.448612329	3.128135572	1.421632792	1.717511451	0.36327779	1.823365197	0.320316597	1.758297344	2.521955267	-0.073930404	2.366004655	0.791785936	-0.229935637	1.467197857	0.56071412	10739.32502	4393358.004	1.195446767
614	39049006410	0.847587178	0.295731687	2.829377519	1.063507824	1.666214486	-0.032774285	1.492296579	0.278654698	0.839483092	3.770308016	-0.073930404	2.693127831	0.36873404	-0.493829803	1.467197857	0.444061943	9088.095797	3850843.923	1.090984266
615	39049006392	0.313799009	0.870457246	2.871573536	1.066183724	1.086733543	0.264264772	1.492296579	0.335476243	1.067996481	2.7411204	-0.073930404	-1.232350295	0.88459383	-0.493829803	1.467197857	-0.058922269	11571.61308	7119646.513	0.787666278
616	39049006391	0.488916397	0.870457246	2.647008812	1.105430297	1.307803929	0.264264772	0.631518173	0.93348311	3.591165154	2.430142847	-0.073930404	0.206991686	0.888684833	-0.315868589	1.467197857	0.110157538	15323.12158	11289413.54	1.034588979
617	39049006387	0.404009589	0.244037681	1.660531364	0.771834437	0.807375824	1.749460055	1.492296579	0.713994109	0.63477318	0.807136189	-0.073930404	1.3145373	0.183488935	-0.493829803	0.544394415	-0.141485753	12048.90141	6691594.436	0.663663981
618	39093022400	-0.438128481	-0.823403674	-0.849592935	-0.847978621	-0.841528617	-0.824878438	-1.023824916	-0.704467858	-0.474468897	-0.454544169	-0.073930404	-0.682783358	-1.185676724	-0.025456965	-1.301212471	-0.204982959	12107.71391	3354202.799	-0.672303718
619	39093022500	-0.649386992	0.520901959	-0.032835497	-0.678504788	-1.487777854	-0.131787305	-1.023824916	0.819210368	0.411020487	-0.296093702	-0.073930404	-1.232350295	0.367516264	-0.493829803	-0.378409028	-0.21653398	6420.368133	1991010.26	-0.286038468
620	39093022601	-0.619701247	0.508566025	-0.303868439	-0.967502272	-1.446709442	-0.131787305	-0.096832786	-0.630661309	-0.298323159	-0.028060668	-0.073930404	-1.232350295	-0.021332467	-0.493829803	-0.378409028	-0.151963407	11457.49575	5164469.647	-0.3979185
621	39093022602	-0.120009524	0.355199717	-0.36811655	-1.004964909	-0.808375769	-0.032774285	-0.361687681	-0.162132039	-0.641093243	0.770115052	-0.005149706	0.808898331	-0.088287642	-0.393731601	1.467197857	-0.123319518	23188.89075	15673779.44	-0.044264469
622	39093022700	0.214282355	0.870457246	0.274509383	0.946660081	1.312481308	0.759329865	-0.692756299	0.834600836	-0.369733593	1.143288115	-0.073930404	-1.232350295	0.772301242	-0.493829803	1.467197857	0.133945951	19256.45674	17657338.89	0.366653365
623	39093030100	-0.719791075	0.721532669	-0.207358101	0.625105776	0.585945639	0.264264772	-0.096832786	0.415359549	0.04920762	0.140755718	-0.073930404	0.842545288	0.440017104	-0.493829803	0.544394415	-0.152355973	36573.30174	57516451.78	0.180314401
624	39093050200	0.348779952	0.528463017	0.012088121	1.172327868	1.292229801	0.46229081	-0.096832786	0.633133231	1.239381523	0.359920851	-0.073930404	1.070596874	0.606482402	-0.40331825	0.544394415	0.04441628	16258.61534	8640661.899	0.483776482
